ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,TotalSpend,LogTotalSpend,SqrtTotalSpend,training,FamilySize,TotalAcceptedCmp,CustomerAge,Relationship_Status,TotalNumPurchases,RL_Status_1_5,RL_Status_0_1,Edu
5524,1957,Graduation,Single,58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,7.388327859577107,40.2119385257662,1,0,1,67,Single_Other,22,1,0,3
2174,1954,Graduation,Single,46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,3.295836866004329,5.196152422706632,1,2,0,70,Single_Other,4,1,0,3
4141,1965,Graduation,Together,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,6.654152520183219,27.85677655436824,1,0,0,59,In_Relationship,20,4,1,3
6182,1984,Graduation,Together,26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,3.970291913552122,7.280109889280518,1,1,0,40,In_Relationship,6,4,1,3
5324,1981,PhD,Married,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,6.045005314036012,20.54263858417414,1,1,0,43,In_Relationship,14,5,1,5
7446,1967,Master,Together,62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,6.573680166960646,26.758176320519304,1,1,0,57,In_Relationship,20,4,1,4
965,1971,Graduation,Divorced,55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,6.380122536899765,24.289915602982237,1,1,0,53,Single_Other,17,2,0,3
6177,1985,PhD,Married,33454,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,5.1298987149230735,13,1,1,0,39,In_Relationship,8,5,1,5
4855,1974,PhD,Together,30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,3.828641396489095,6.782329983125268,1,1,1,50,In_Relationship,5,4,1,5
5899,1950,PhD,Together,5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,3.8918202981106265,7,0,2,1,74,In_Relationship,1,4,1,5
387,1976,Basic,Married,7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,4.110873864173311,7.810249675906654,1,0,0,48,In_Relationship,5,5,1,2
2125,1959,Graduation,Divorced,63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,7.004881989712859,33.19638534539566,1,0,0,65,Single_Other,15,2,0,3
8180,1952,Master,Divorced,59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,5.736572297479192,17.60681686165901,1,2,0,72,Single_Other,12,2,0,4
2569,1987,Graduation,Married,17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,3.828641396489095,6.782329983125268,1,0,0,37,In_Relationship,4,5,1,3
2114,1946,PhD,Single,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,7.181591944611865,36.26292872893749,1,0,3,78,Single_Other,25,1,0,5
9736,1980,Graduation,Married,41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,4.564348191467836,9.797958971132712,1,2,0,44,In_Relationship,6,5,1,3
4939,1946,Graduation,Together,37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,5.75890177387728,17.804493814764857,0,0,0,78,In_Relationship,11,4,1,3
6565,1949,Master,Married,76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,7.485491608030754,42.21374183841087,1,1,1,75,In_Relationship,24,5,1,4
2278,1985,2n Cycle,Single,33812,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,4.890349128221754,11.532562594670797,0,1,0,39,Single_Other,6,1,0,1
9360,1982,Graduation,Married,37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,5.755742213586912,17.776388834631177,1,0,0,42,In_Relationship,11,5,1,3
5376,1979,Graduation,Married,2447,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,7.455876687491824,41.593268686170845,1,1,0,45,In_Relationship,28,5,1,3
1993,1949,PhD,Married,58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,6.879355804460439,31.176914536239792,0,1,1,75,In_Relationship,14,5,1,5
4047,1954,PhD,Married,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,6.298949246855942,23.323807579381203,1,1,0,70,In_Relationship,17,5,1,5
1409,1951,Graduation,Together,40689,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,6.095824562432225,21.071307505705477,1,1,0,73,In_Relationship,13,4,1,3
7892,1969,Graduation,Single,18589,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,4.31748811353631,8.660254037844387,0,0,0,55,Single_Other,6,1,0,3
2404,1976,Graduation,Married,53359,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,5.54907608489522,16.0312195418814,1,2,0,48,In_Relationship,10,5,1,3
9422,1989,Graduation,Married,38360,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,4.875197323201151,11.445523142259598,1,1,0,35,In_Relationship,7,5,1,3
1966,1965,PhD,Married,84618,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,7.421775793644647,40.890096600521744,0,0,1,59,In_Relationship,25,5,1,5
6864,1989,Master,Divorced,10979,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,3.4011973816621555,5.477225575051661,1,0,0,35,Single_Other,6,2,0,4
3033,1963,Master,Together,38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,5.762051382780177,17.832554500127006,1,0,0,61,In_Relationship,10,4,1,4
5710,1970,Graduation,Together,40548,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,4.787491742782046,10.954451150103322,1,1,1,54,In_Relationship,7,4,1,3
7373,1952,PhD,Divorced,46610,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,5.71042701737487,17.378147196982766,0,2,1,72,Single_Other,11,2,0,5
8755,1946,Master,Married,68657,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,7.086737934510577,34.583232931581165,0,0,0,78,In_Relationship,17,5,1,4
10738,1951,Master,Single,49389,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,4.174387269895637,8.06225774829855,0,2,0,73,Single_Other,5,1,0,4
4339,1970,PhD,Married,67353,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,6.816735880594968,30.215889859476256,1,1,0,54,In_Relationship,23,5,1,5
10755,1976,2n Cycle,Married,23718,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,4.394449154672439,9,0,1,0,48,In_Relationship,6,5,1,1
8595,1973,Graduation,Widow,42429,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,4.204692619390966,8.18535277187245,1,1,0,51,Single_Other,5,3,0,3
2968,1943,PhD,Divorced,48948,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,6.804614520062624,30.033314835362415,1,0,2,81,Single_Other,22,2,0,5
8601,1980,Graduation,Married,80011,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,7.240649694255466,37.3496987939662,0,1,0,44,In_Relationship,19,5,1,3
503,1985,Master,Married,20559,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,3.970291913552122,7.280109889280518,1,1,0,39,In_Relationship,5,5,1,4
8430,1957,Graduation,Together,21994,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,3.091042453358316,4.69041575982343,1,1,0,67,In_Relationship,3,4,1,3
2139,1975,Master,Married,7500,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,3.4339872044851463,5.5677643628300215,1,1,0,49,In_Relationship,5,5,1,4
